budget,days,interest,travel_type,transport_mode,route_category,recommended_route
55117,4,cultural,friends,car,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
184359,8,beach,friends,bus,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
68611,5,adventure,family,van,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
105785,6,nature,couple,car,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
88213,5,beach,family,car,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
40425,2,relax,solo,car,Weekend_Getaway,Colombo -> Galle -> Colombo
161340,4,cultural,couple,van,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
161046,7,beach,family,van,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
105247,4,cultural,solo,bus,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
64119,4,beach,solo,car,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
123633,3,family,couple,van,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
114679,6,cultural,family,van,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
100108,6,cultural,couple,bus,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
93083,4,wildlife,couple,van,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
290087,5,luxury,family,bike,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
80970,4,wildlife,friends,van,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
50718,3,relax,couple,bike,Weekend_Getaway,Colombo -> Ella -> Colombo
35423,6,nature,family,bus,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
141509,4,adventure,solo,bus,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
251517,8,luxury,family,car,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
133033,6,cultural,couple,car,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
151187,5,wildlife,family,bike,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
87255,6,cultural,family,van,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
272815,6,luxury,family,van,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
36315,3,relax,friends,van,Weekend_Getaway,Colombo -> Kandy -> Colombo
112199,7,cultural,couple,bike,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
66222,4,wildlife,family,bike,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
44713,5,nature,couple,van,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
86754,8,wildlife,family,bike,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
143188,7,beach,solo,bike,Southern_Beach,Colombo -> Unawatuna -> Mirissa -> Tangalle -> Colombo
105238,3,wildlife,couple,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
173307,7,cultural,solo,bike,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
85236,3,cultural,solo,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
64047,6,cultural,couple,bike,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
122234,7,cultural,solo,bus,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
39958,4,nature,couple,bike,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
157429,4,cultural,family,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
91931,8,wildlife,friends,van,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
93510,6,cultural,friends,bus,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
152692,7,cultural,friends,van,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
156861,7,wildlife,couple,bike,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
140662,6,family,solo,van,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
345036,8,luxury,friends,car,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
97906,4,beach,couple,van,Southern_Beach,Colombo -> Unawatuna -> Mirissa -> Tangalle -> Colombo
64813,4,nature,solo,bike,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
36037,3,relax,solo,bike,Weekend_Getaway,Colombo -> Galle -> Colombo
79136,4,wildlife,solo,van,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
164973,6,wildlife,friends,bike,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
59912,7,cultural,solo,bus,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
166461,6,wildlife,solo,car,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
27945,3,relax,solo,car,Weekend_Getaway,Colombo -> Galle -> Colombo
132442,8,nature,solo,bus,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
23866,2,relax,solo,car,Weekend_Getaway,Colombo -> Kandy -> Colombo
158782,6,cultural,couple,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
241969,7,luxury,solo,car,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
88909,7,nature,family,bus,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
77854,3,cultural,couple,bus,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
110289,7,beach,friends,car,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
89077,6,cultural,solo,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
171494,4,nature,solo,van,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
70342,5,nature,family,car,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
59231,3,beach,solo,bus,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
74341,6,family,family,bus,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
113484,7,nature,couple,bike,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
36202,3,nature,family,bike,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
86360,7,family,solo,bike,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
242891,10,luxury,family,van,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
58869,8,nature,family,car,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
61514,6,nature,couple,bus,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
285715,9,luxury,friends,car,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
76143,8,adventure,couple,bus,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
132604,5,wildlife,solo,van,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
61095,5,nature,friends,bus,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
184764,7,luxury,couple,car,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
50453,2,relax,family,bike,Weekend_Getaway,Colombo -> Kandy -> Colombo
383878,9,luxury,family,bus,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
111112,4,cultural,friends,car,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
275438,5,luxury,family,bike,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
350248,5,luxury,friends,car,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
54010,6,wildlife,solo,van,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
389813,10,luxury,family,car,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
68526,6,nature,solo,car,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
117468,4,family,family,car,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
75301,4,cultural,friends,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
65690,4,nature,family,van,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
122535,4,family,couple,van,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
96444,4,beach,family,bike,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
46679,5,cultural,family,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
128081,3,beach,family,bike,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
90971,8,adventure,solo,van,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
169286,4,adventure,family,bike,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
93392,3,family,solo,bike,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
114184,4,adventure,solo,bike,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
163979,5,cultural,solo,car,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
39791,1,relax,family,van,Weekend_Getaway,Colombo -> Ella -> Colombo
91841,6,adventure,solo,bus,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
322208,5,luxury,family,van,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
101172,4,nature,couple,car,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
67527,3,nature,couple,bike,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
89648,4,cultural,couple,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
325490,7,luxury,family,bus,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
58755,5,nature,family,car,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
48621,3,relax,solo,bike,Weekend_Getaway,Colombo -> Kandy -> Colombo
170676,4,beach,family,bus,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
46649,1,relax,friends,car,Weekend_Getaway,Colombo -> Kandy -> Colombo
109079,4,beach,family,bike,Southern_Beach,Colombo -> Unawatuna -> Mirissa -> Tangalle -> Colombo
29371,3,nature,family,bike,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
64072,4,adventure,friends,bike,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
66954,5,family,family,car,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
114299,8,beach,family,van,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
34318,2,relax,couple,bike,Weekend_Getaway,Colombo -> Kandy -> Colombo
31663,5,nature,couple,bus,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
72759,4,cultural,couple,bus,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
67110,6,family,solo,bus,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
96353,4,cultural,solo,bus,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
35281,2,relax,family,bus,Weekend_Getaway,Colombo -> Galle -> Colombo
48907,3,relax,friends,van,Weekend_Getaway,Colombo -> Galle -> Colombo
94361,6,beach,family,van,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
137410,5,cultural,couple,van,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
29842,1,relax,family,van,Weekend_Getaway,Colombo -> Ella -> Colombo
51372,5,family,friends,van,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
173708,8,cultural,friends,van,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
21342,2,relax,friends,van,Weekend_Getaway,Colombo -> Galle -> Colombo
91260,3,cultural,couple,car,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
74531,4,nature,solo,bus,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
113729,3,cultural,friends,van,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
174278,4,cultural,family,car,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
114806,5,cultural,solo,bus,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
67065,8,cultural,solo,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
82881,5,beach,couple,van,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
124161,3,cultural,friends,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
148512,7,beach,solo,van,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
69743,4,adventure,solo,bike,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
315810,10,luxury,friends,car,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
123274,7,adventure,solo,bike,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
142522,4,cultural,family,bus,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
107246,7,cultural,friends,bike,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
107531,8,wildlife,friends,bus,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
131380,5,cultural,solo,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
179678,6,cultural,solo,bike,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
276129,6,luxury,family,car,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
30809,4,nature,solo,van,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
123418,3,nature,family,bike,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
63441,4,nature,solo,van,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
58459,6,nature,friends,bike,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
38602,4,nature,couple,bus,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
122951,4,cultural,solo,bus,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
107432,4,cultural,family,bus,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
127619,5,nature,family,van,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
108472,5,beach,solo,van,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
17139,1,relax,couple,van,Weekend_Getaway,Colombo -> Kandy -> Colombo
98224,7,wildlife,family,bike,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
118413,8,cultural,family,car,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
125311,3,cultural,friends,bus,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
68825,5,cultural,solo,car,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
143230,6,beach,family,van,Southern_Beach,Colombo -> Unawatuna -> Mirissa -> Tangalle -> Colombo
164523,4,wildlife,friends,bike,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
87313,5,nature,friends,van,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
138308,6,cultural,friends,bus,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
322034,8,luxury,friends,bus,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
86245,7,wildlife,couple,van,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
100581,8,adventure,solo,bus,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
179091,7,adventure,friends,van,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
64630,8,adventure,family,car,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
364312,8,luxury,friends,bike,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
42421,3,relax,family,car,Weekend_Getaway,Colombo -> Galle -> Colombo
63975,7,wildlife,couple,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
72594,4,wildlife,family,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
90674,5,wildlife,friends,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
22388,3,relax,couple,bus,Weekend_Getaway,Colombo -> Ella -> Colombo
85179,8,beach,solo,van,Southern_Beach,Colombo -> Unawatuna -> Mirissa -> Tangalle -> Colombo
115498,7,family,solo,bus,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
132111,8,cultural,couple,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
59858,8,beach,family,bus,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
52582,4,nature,friends,car,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
46672,3,cultural,friends,van,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
172902,8,cultural,solo,car,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
104714,5,family,family,van,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
167365,6,cultural,couple,bike,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
48430,2,relax,solo,van,Weekend_Getaway,Colombo -> Ella -> Colombo
56630,5,nature,couple,bike,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
54218,7,wildlife,friends,van,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
228514,6,luxury,solo,car,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
45223,1,relax,solo,van,Weekend_Getaway,Colombo -> Ella -> Colombo
85040,6,beach,solo,bus,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
38887,3,nature,solo,car,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
57016,5,wildlife,solo,bus,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
167698,7,nature,friends,bike,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
80417,7,nature,couple,bus,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
90908,6,nature,couple,bike,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
127045,8,adventure,couple,car,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
83742,6,nature,family,bike,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
28512,3,nature,family,car,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
58843,3,nature,friends,van,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
107532,7,nature,family,bike,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
111968,5,nature,friends,bike,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
107046,3,family,couple,van,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
92022,7,beach,family,car,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
130458,7,adventure,family,bus,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
41274,3,relax,friends,bus,Weekend_Getaway,Colombo -> Ella -> Colombo
173815,4,family,couple,bus,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
26990,2,relax,couple,bus,Weekend_Getaway,Colombo -> Kandy -> Colombo
89637,7,cultural,friends,bike,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
173777,6,nature,family,bus,Hill_Country,Colombo -> Kandy -> Ella -> Badulla -> Colombo
151900,4,family,couple,car,Family_Tour,Colombo -> Sigiriya -> Kandy -> Bentota -> Colombo
166017,6,cultural,couple,van,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
37854,5,nature,friends,van,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
67558,7,adventure,couple,bus,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
53232,7,wildlife,solo,van,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
161259,8,cultural,friends,van,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
58606,6,nature,couple,bike,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
98175,4,nature,family,van,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
59629,3,nature,couple,car,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
34885,4,nature,couple,car,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
141500,5,wildlife,couple,bus,Wildlife_Safari,Colombo -> Yala -> Udawalawe -> Ella -> Colombo
167098,8,cultural,family,bike,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
29658,6,nature,solo,bike,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
383939,8,luxury,friends,bus,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
68382,6,nature,family,car,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
57183,3,cultural,family,bus,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
179909,4,adventure,couple,bus,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
349994,6,luxury,couple,bike,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
148641,5,cultural,solo,car,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
22750,2,relax,solo,bike,Weekend_Getaway,Colombo -> Kandy -> Colombo
57043,3,wildlife,couple,bike,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
23152,3,nature,solo,bus,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
54424,3,nature,couple,bike,Hill_Country,Colombo -> Haputale -> Ella -> Bandarawela -> Colombo
130228,7,beach,friends,bus,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
132478,6,cultural,friends,bus,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
123225,7,cultural,family,bus,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
125425,4,cultural,friends,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
158541,5,wildlife,friends,car,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
136520,4,cultural,friends,bus,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
146560,4,beach,solo,bike,Southern_Beach,Colombo -> Bentota -> Hikkaduwa -> Galle -> Mirissa -> Colombo
381452,9,luxury,family,van,Luxury_Tour,Colombo -> Sigiriya Resort -> Kandy Resort -> Ella Resort -> Colombo
160227,7,wildlife,family,bus,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
33872,3,nature,family,car,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
67239,5,cultural,friends,car,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
338628,5,luxury,family,car,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
116511,3,adventure,couple,van,Adventure_Tour,Colombo -> Belihuloya -> Horton Plains -> Ella -> Colombo
97716,6,cultural,couple,van,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
57650,3,cultural,couple,car,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
60910,7,beach,solo,van,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
157618,7,family,solo,bus,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
62358,5,cultural,family,bus,Cultural_Triangle,Colombo -> Dambulla -> Sigiriya -> Polonnaruwa -> Kandy -> Colombo
24806,2,relax,solo,van,Weekend_Getaway,Colombo -> Galle -> Colombo
63442,4,cultural,friends,bike,Northern_Heritage,Colombo -> Mannar -> Jaffna -> Nagadeepa -> Colombo
222835,6,luxury,solo,car,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
390848,8,luxury,family,bus,Luxury_Tour,Colombo -> Bentota -> Galle -> Tea Country -> Colombo
168062,8,wildlife,solo,bus,Wildlife_Safari,Colombo -> Wilpattu -> Anuradhapura -> Colombo
137718,7,nature,solo,bus,Hill_Country,Colombo -> Kandy -> Nuwara Eliya -> Ella -> Colombo
176785,4,cultural,friends,bike,Northern_Heritage,Colombo -> Anuradhapura -> Jaffna -> Delft -> Colombo
61602,3,nature,couple,car,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
104334,8,cultural,couple,bike,Cultural_Triangle,Colombo -> Anuradhapura -> Mihintale -> Sigiriya -> Colombo
158467,6,beach,solo,bike,Southern_Beach,Colombo -> Galle -> Hiriketiya -> Mirissa -> Colombo
56874,4,nature,friends,bike,Budget_Backpacker,Colombo -> Ella -> Arugam Bay -> Galle -> Colombo
110298,7,family,friends,van,Family_Tour,Colombo -> Kandy -> Nuwara Eliya -> Galle -> Colombo
162870,8,adventure,solo,bike,Adventure_Tour,Colombo -> Kitulgala -> Ella -> Knuckles -> Colombo
39145,6,nature,couple,van,Budget_Backpacker,Colombo -> Kandy -> Ella -> Mirissa -> Colombo
